Family,Taxonomy,Length_code,Cite_bm_conversion,Taxon_resolution,a,b,Totlen2forklen,Cite_length_conversion,Note_length_conversion
Pomacanthidae,Centropyge loricula,FL,Kulbicki,Genus,0.074,2.577,1,Fishbase,
Pomacanthidae,Centropyge multifasciata,FL,Kulbicki,Genus,0.074,2.577,1,Photograph,
Pomacanthidae,Pomacanthus imperator,FL,Kulbicki,Congener,0.067,2.724,1,Photograph,
Pomacanthidae,Pygoplites diacanthus,FL,Kulbicki,Family,0.058,2.718,1,Photograph,
Pomacentridae,Abudefduf septemfasciatus,FL,Kulbicki,Genus,0.023,3.132,0.904,Photograph,
Pomacentridae,Abudefduf sexfasciatus,FL,Kulbicki,Species,0.021,3.152,0.86,Fishbase,
Pomacentridae,Abudefduf sordidus,FL,Kulbicki,Genus,0.023,3.132,0.931,Fishbase,
Pomacentridae,Amphiprion chrysopterus,FL,Kulbicki,Genus,0.019,3.19,1,Fishbase,
Pomacentridae,Chromis acares,FL,Kulbicki,Genus,0.023,3.175,0.861,Fishbase,
Pomacentridae,Chromis agilis,FL,Kulbicki,Genus,0.023,3.175,0.831,Fishbase,
Pomacentridae,Chromis atripectoralis,FL,Kulbicki,Species,0.018,3.291,0.843,Fishbase,
Pomacentridae,Chromis iomelas,FL,Kulbicki,Species,0.015,3.383,0.786,Fishbase,
Pomacentridae,Chromis margaritifer,FL,Kulbicki,Genus,0.023,3.175,0.755,Fishbase,
Pomacentridae,Chromis vanderbilti,FL,Kulbicki,Genus,0.023,3.175,0.861,Fishbase,
Pomacentridae,Chromis viridis,FL,Kulbicki,Species,0.035,2.9,0.845,Fishbase,
Pomacentridae,Chromis xanthura,FL,Kulbicki,Genus,0.023,3.175,0.77,Fishbase,
Pomacentridae,Chrysiptera brownriggii,FL,Kulbicki,Genus,0.026,2.926,0.977,Fishbase,
Pomacentridae,Chrysiptera glauca,FL,Kulbicki,Genus,0.026,2.926,0.962,Fishbase,
Pomacentridae,Dascyllus aruanus,FL,Kulbicki,Species,0.042,2.989,0.93,Fishbase,
Pomacentridae,Dascyllus flavicaudus,FL,Kulbicki,Genus,0.046,2.911,0.924,Fishbase,
Pomacentridae,Dascyllus trimaculatus,FL,Kulbicki,Species,0.031,3.043,0.938,Fishbase,
Pomacentridae,Lepidozygus tapeinosoma,FL,Kulbicki,Family,0.021,3.191,0.874,Fishbase,
Pomacentridae,Plectroglyphidodon (cf) sp.,FL,Kulbicki,Family,0.021,3.191,0.893,Genus Average,
Pomacentridae,Plectroglyphidodon dickii,FL,Kulbicki,Family,0.021,3.191,0.889,Fishbase,
Pomacentridae,Plectroglyphidodon flaviventris,FL,Kulbicki,Family,0.021,3.191,0.915,Photograph,
Pomacentridae,Plectroglyphidodon johnstonianus,TL,FishBase,Species,0.061,2.635,,na,na
Pomacentridae,Plectroglyphidodon lacrymatus,FL,Kulbicki,Family,0.021,3.191,0.874,Fishbase,
Pomacentridae,Pomacentrus pavo,FL,Kulbicki,Species,0.025,2.972,0.827,Photograph,
Pomacentridae,Pomachromis fuscidorsalis,FL,Kulbicki,Genus,0.028,3.024,0.873,Photograph,
Pomacentridae,Stegastes albifasciatus,FL,Kulbicki,Genus,0.04,2.989,0.921,Fishbase,
Pomacentridae,Stegastes fasciolatus,FL,Kulbicki,Genus,0.04,2.989,0.884,Fishbase,
Pomacentridae,Stegastes nigricans,FL,Kulbicki,Species,0.038,3.01,0.917,Fishbase,
Pomacentridae,Stegastes punctatus,FL,Kulbicki,Genus,0.04,2.989,0.907,Genus Average,
Scaridae,Calotomus carolinus,NS,FishBase,Species,0.012,3.167,,na,na
Scaridae,Cetoscarus ocellatus,FL,Kulbicki,Family,0.022,2.971,1,Photograph,Variable among size classes
Scaridae,Chlorurus frontalis,FL,Kulbicki,Congener,0.024,2.969,0.98,Fishbase,
Scaridae,Chlorurus microrhinos,FL,Kulbicki,Congener,0.024,2.969,0.842,Fishbase,
Scaridae,Chlorurus sordidus,FL,Kulbicki,Species,0.024,2.969,1,Fishbase,
Scaridae,Hipposcarus longiceps,FL,Kulbicki,Family,0.022,2.971,0.988,Fishbase,
Scaridae,Leptoscarus vaigiensis,TL,Kulbicki,Species,0.017,2.965,,Fishbase,na
Scaridae,Scarus altipinnis,FL,Kulbicki,Species,0.018,3.029,0.973,Fishbase,
Scaridae,Scarus forsteni,FL,Kulbicki,Genus,0.023,2.956,0.947,Fishbase,
Scaridae,Scarus frenatus,FL,Kulbicki,Genus,0.023,2.956,1,Photograph,Variable among size classes but close to 1
Scaridae,Scarus ghobban,FL,Kulbicki,Species,0.017,3.041,0.915,Fishbase,
Scaridae,Scarus globiceps,FL,Kulbicki,Genus,0.023,2.956,1,Photograph,Variable among size classes but close to 1
Scaridae,Scarus niger,FL,Kulbicki,Species,0.013,3.16,1,Photograph,Variable among size classes but close to 1
Scaridae,Scarus oviceps,FL,Kulbicki,Genus,0.023,2.956,1,Photograph,Variable among size classes but close to 1
Scaridae,Scarus psittacus,FL,Kulbicki,Species,0.011,3.319,1,Photograph,Variable among size classes but close to 1
Scaridae,Scarus rubroviolaceus,FL,Kulbicki,Genus,0.023,2.956,0.91,Fishbase,
Scaridae,Scarus schlegeli,FL,Kulbicki,Species,0.023,2.969,1,Photograph,Variable among size classes but close to 1
Scaridae,Scarus tricolor,FL,Kulbicki,Genus,0.023,2.956,0.98,Fishbase,
Scorpaenidae,Pterois antennata,FL,Kulbicki,Genus,0.036,2.697,1,Fishbase,
Scorpaenidae,Pterois radiata,FL,Kulbicki,Genus,0.036,2.697,1,Fishbase,
Scorpaenidae,Scorpaenopsis diabolus,FL,Kulbicki,Genus,0.013,3.261,1,Photograph,
Scorpaenidae,Scorpaenopsis papuensis,FL,Kulbicki,Genus,0.013,3.261,1,Photograph,
Scorpaenidae,Scorpaenopsis sp.,FL,Kulbicki,Genus,0.013,3.261,1,Genus Average,na
Scorpaenidae,Sebastapistes cyanostigma,FL,Kulbicki,Family,0.025,2.908,1,Fishbase,
Scorpaenidae,Sebastapistes sp.,FL,Kulbicki,Family,0.025,2.908,1,Genus Average,
Scorpaenidae,Sebastapistes strongia,FL,Kulbicki,Family,0.025,2.908,1,Fishbase,
Scorpaenidae,Sebastapistes tinkhami,FL,Kulbicki,Family,0.025,2.908,1,Photograph,
Scorpaenidae,Taenianotus triacanthus,FL,Kulbicki,Family,0.025,2.908,1,Fishbase,
Scorpaeniformes,Scorpaenidae unidentified,FL,Kulbicki,Family,0.025,2.908,1,Genus Average,
Scorpaeniformes,Sebastapistes,FL,Kulbicki,Family,0.025,2.908,1,Genus Average,
Serranidae,Cephalopholis argus,FL,Kulbicki,Species,0.009,3.181,1,Fishbase,
Serranidae,Cephalopholis microprion,FL,Kulbicki,Genus,0.011,3.109,1,Fishbase,
Serranidae,Cephalopholis sexmaculata,FL,Kulbicki,Genus,0.011,3.109,1,Fishbase,
Serranidae,Cephalopholis urodeta,FL,Kulbicki,Species,0.028,2.818,1,Fishbase,
Serranidae,Epinephelus fasciatus,FL,Kulbicki,Species,0.014,3.041,1,Fishbase,
Serranidae,Epinephelus hexagonatus,FL,Kulbicki,Genus,0.012,3.053,1,Fishbase,
Serranidae,Epinephelus merra,FL,Kulbicki,Species,0.016,2.966,1,Fishbase,
Serranidae,Grammistes sexlineatus,FL,Kulbicki,Family,0.013,3.031,1,Fishbase,
Serranidae,Pogonoperca punctata,FL,Kulbicki,Family,0.013,3.031,1,Fishbase,
Serranidae,Pseudanthias mooreanus,FL,Kulbicki,Congener,0.014,3.149,0.809,Fishbase,
Serranidae,Pseudanthias olivaceus,FL,Kulbicki,Congener,0.014,3.149,0.848,Fishbase,
Serranidae,Pseudanthias pascalus,FL,Kulbicki,Congener,0.014,3.149,0.805,Fishbase,
Serranidae,Variola louti,FL,Kulbicki,Species,0.012,3.07,0.723,Fishbase,
Siganidae,Siganus argenteus,FL,Kulbicki,Species,0.011,3.154,0.892,Fishbase,
Siganidae,Siganus spinus,FL,Kulbicki,Species,0.015,3.093,1,Photograph,
Sphyraenidae,Sphyraena barracuda,FL,Kulbicki,Species,0.006,3.011,0.886,Fishbase,na
Sphyraenidae,Sphyraena qenie,FL,Kulbicki,Genus,0.006,3.013,0.9,Fishbase,
Sphyraenidae,Sphyraena sp. 1,FL,Kulbicki,Genus,0.006,3.013,0.9,Congener,
Synanceiidae,Synanceia verrucosa,FL,Kulbicki,Family,0.004,3.694,1,Fishbase,
Syngnathidae,Corythoichthys flavofasciatus,FL,Kulbicki,Confamily,0,4.12,1,Photograph,
Synodontidae,Saurida gracilis,FL,Kulbicki,Species,0.007,3.165,0.93,Photograph,
Synodontidae,Synodus binotatus,FL,Kulbicki,Genus,0.009,3.078,0.952,Photograph,
Synodontidae,Synodus variegatus,FL,Kulbicki,Species,0.003,3.484,0.947,Photograph,na
Tetraodontidae,Arothron hispidus,FL,Kulbicki,Species,0.063,2.756,1,Fishbase,
Tetraodontidae,Arothron meleagris,FL,Kulbicki,Genus,0.035,2.901,1,Fishbase,
Tetraodontidae,Canthigaster bennetti,FL,Kulbicki,Genus,0.042,2.822,1,Fishbase,
Tetraodontidae,Canthigaster solandri,FL,Kulbicki,Species,0.03,2.979,1,Fishbase,
Tetraodontidae,Canthigaster sp. 1,FL,Kulbicki,Genus,0.042,2.822,1,Genus Average,
Tetraodontidae,Canthigaster valentini,FL,Kulbicki,Species,0.037,2.943,1,Fishbase,
Tetraodontiformes,Balistidae unidentified 1,FL,Kulbicki,Family,0.006,3.393,1,No Info,
Zanclidae,Zanclus cornutus,FL,Kulbicki,Species,0.015,3.37,1,Photograph,Variable  
